id,campaign,name
129,1223,
4760,1223,AdGroup1
273,1226,
4960,1226,AdGroup1
350,1229,
4666,1229,AdGroup1
60,1230,
4677,1230,AdGroup1
196,1231,
4879,1231,AdGroup1
123,1232,
4757,1232,AdGroup1
348,1233,
4655,1233,AdGroup1
255,1234,
4938,1234,AdGroup1
90,1235,
4704,1235,AdGroup1
68,1236,
4683,1236,AdGroup1
242,1237,
4929,1237,AdGroup1
48,1238,
4648,1238,Category
216,1239,
4901,1239,AdGroup1
1,1240,
4606,1240,AdGroup1
85,1241,
4697,1241,AdGroup1
120,1242,
4756,1242,AdGroup1
100,1243,
4721,1243,AdGroup1
491,1244,
4797,1244,AdGroup1
150,1245,
4795,1245,AdGroup1
126,1246,
4758,1246,AdGroup1
153,1247,
4809,1247,AdGroup1
228,1248,
4920,1248,AdGroup1
405,1249,
4710,1249,AdGroup1
175,1250,
4844,1250,AdGroup1
38,1251,
4636,1251,AdGroup1
80,1252,
4690,1252,AdGroup1
6295,2042,AdGroup1
10067,3284,Ad group 1
36,52171,
74,52191,
37,52292,
35,52409,
2503,55305,
4969,55305,AdGroup1
2504,55306,
4975,55306,AdGroup1
5843,170219,AdGroup1
6273,170649,AdGroup1
6280,170656,AdGroup1
8042,172418,AdGroup1
