id,ad_groups,asin,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate
1,1,B002UVKMVY,7/28/19,3917,7,0.001787,1.96,13.75,0.712805,0.014,19.29,1,1,0
2,1,B002UVKMVY,7/29/19,666,2,0.003003,1.58,3.16,NULL,0,0,0,0,0
3,1,B002UVKMVY,7/31/19,0,0,NULL,NULL,0,NULL,NULL,0,0,0,NULL
8,1,B002UVKMVY,8/1/19,5833,15,0.002572,1.39,20.78,0.1908,0.0524,108.91,6,8,0
9,1,B002UVKMVY,8/2/19,3155,11,0.003487,1.5,16.46,NULL,0,0,0,0,0
10,1,B002UVKMVY,8/3/19,2976,4,0.001344,1.33,5.3,NULL,0,0,0,0,0
11,1,B01CJB7FIW,7/28/19,1008,2,0.001984,2.52,5.03,NULL,0,0,0,0,0
12,1,B01CJB7FIW,7/29/19,139,0,0,NULL,0,NULL,NULL,0,0,0,NULL
13,1,B01CJB7FIW,8/1/19,1930,4,0.002073,1.23,4.93,NULL,0,0,0,0,0
14,1,B01CJB7FIW,8/2/19,1154,1,0.000867,0.97,0.97,NULL,0,0,0,0,0
15,1,B01CJB7FIW,8/3/19,875,0,0,NULL,0,NULL,NULL,0,0,0,NULL
16,1,B00MH8YUOA,7/28/19,6199,36,0.005807,1.28,46.19,0.717013,0.0139,64.42,12,17,0
17,1,B00MH8YUOA,7/29/19,1113,4,0.003594,0.84,3.36,0.318182,0.0314,10.56,2,4,1
18,1,B00MH8YUOA,7/30/19,0,0,NULL,NULL,0,NULL,NULL,0,0,0,NULL
19,1,B00MH8YUOA,7/31/19,0,0,NULL,NULL,0,NULL,NULL,0,0,0,NULL
20,1,B00MH8YUOA,8/1/19,9448,23,0.002434,1.16,26.68,1.44372,0.0069,18.48,5,7,0
21,1,B00MH8YUOA,8/2/19,6183,19,0.003073,1.52,28.83,3.25395,0.0031,8.86,3,3,0
22,1,B00MH8YUOA,8/3/19,5288,19,0.003593,1.53,29.16,0.729,0.0137,40,5,8,0
23,1,B004A7JDF2,7/28/19,1478,0,0,NULL,0,NULL,NULL,0,0,0,NULL
24,1,B004A7JDF2,7/29/19,224,0,0,NULL,0,NULL,NULL,0,0,0,NULL
25,1,B004A7JDF2,8/1/19,1513,2,0.001322,1.32,2.63,NULL,0,0,0,0,0
26,1,B004A7JDF2,8/2/19,987,1,0.001013,0.08,0.08,NULL,0,0,0,0,0
27,1,B004A7JDF2,8/3/19,952,1,0.00105,0.35,0.35,NULL,0,0,0,0,0
28,1,B001GIOW7M,7/28/19,2659,3,0.001128,0.98,2.94,1.11364,0.009,2.64,1,1,0
29,1,B001GIOW7M,7/29/19,465,0,0,NULL,0,NULL,NULL,0,0,0,NULL
30,1,B001GIOW7M,7/30/19,0,0,NULL,NULL,0,NULL,NULL,0,0,0,NULL
31,1,B001GIOW7M,8/1/19,3106,3,0.000966,1.81,5.43,0.236601,0.0423,22.95,1,1,0
32,1,B001GIOW7M,8/2/19,2124,5,0.002354,1.1,5.5,NULL,0,0,0,0,0
33,1,B001GIOW7M,8/3/19,1885,4,0.002122,1.63,6.52,NULL,0,0,0,0,0
34,35,B001GIOW7M,7/29/19,0,0,NULL,NULL,0,NULL,NULL,0,0,0,NULL
35,36,B002UVKMVY,7/30/19,0,0,NULL,NULL,0,NULL,NULL,0,0,0,NULL
36,37,B00MH8YUOA,7/29/19,0,0,NULL,NULL,0,NULL,NULL,0,0,0,NULL
37,38,B00AOJCERY,7/28/19,42,0,0,NULL,0,NULL,NULL,0,0,0,NULL
38,38,B00AOJCERY,7/29/19,29,0,0,NULL,0,NULL,NULL,0,0,0,NULL
39,38,B00AOJCERY,8/1/19,148,0,0,NULL,0,NULL,NULL,0,0,0,NULL
40,38,B00AOJCERY,8/2/19,23,0,0,NULL,0,NULL,NULL,0,0,0,NULL
41,38,B00AOJCERY,8/3/19,28,0,0,NULL,0,NULL,NULL,0,0,0,NULL
42,38,B00AOJCETC,7/28/19,43,0,0,NULL,0,NULL,NULL,0,0,0,NULL
43,38,B00AOJCETC,7/29/19,5,0,0,NULL,0,NULL,NULL,0,0,0,NULL
44,38,B00AOJCETC,8/1/19,41,0,0,NULL,0,NULL,NULL,0,0,0,NULL
45,38,B00AOJCETC,8/2/19,56,0,0,NULL,0,NULL,NULL,0,0,0,NULL
46,38,B00AOJCETC,8/3/19,22,0,0,NULL,0,NULL,NULL,0,0,0,NULL
47,48,B009V0ZMO4,7/28/19,659,5,0.007587,1.9,9.52,0.262911,0.038,36.21,4,4,1
48,48,B009V0ZMO4,7/29/19,0,0,NULL,NULL,0,NULL,NULL,0,0,0,NULL
