id,portfolio,name,type,currency,attribution_period,targeting_type,bidding_strategy,start_date,end_date,daily_budget
1,1,CLW_BR_Original,SB,USD,14,NULL,NULL,NULL,NULL,NULL
13,2,CLW_Cat_HandSoap,SB,USD,14,NULL,NULL,NULL,NULL,NULL
14,1,Puracy.Competitor,SB,USD,14,NULL,NULL,NULL,NULL,NULL
21,1,CLW_BR_SB,SB,USD,14,NULL,NULL,NULL,NULL,NULL
28,1,ProductMix_Branded,SB,USD,14,NULL,NULL,NULL,NULL,NULL
93,1,RO | CLW | Branded.01 (1),SB,USD,14,NULL,NULL,NULL,NULL,NULL
100,2,KIYWORD.HS.CS.006 (1),SB,USD,14,NULL,NULL,NULL,NULL,NULL
107,1,Flu and Cold KW (1),SB,USD,14,NULL,NULL,NULL,NULL,NULL
114,1,Branded.ProductAssort,SB,USD,14,NULL,NULL,NULL,NULL,NULL
1223,2,CLW_Auto_HandSoap,SP,USD,14,Automatic targeting,Dynamic bids - down only,5/8/19,NULL,50
1226,4,CLW_Comp_FoamingHandSanitizer,SP,USD,14,Manual targeting,Dynamic bids - down only,2/6/18,NULL,100
1229,5,CLW_Comp_HandSaniWipes_Canister,SP,USD,14,Manual targeting,Dynamic bids - down only,2/6/18,NULL,40
1230,3,CLW_Comp_DisfWipes,SP,USD,14,Manual targeting,Dynamic bids - down only,2/6/18,NULL,35
1231,4,CLW_Cat_HandSaniSpray,SP,USD,14,Manual targeting,Dynamic bids - down only,2/6/18,NULL,50
1232,5,CLW_Comp_HandSaniWipes_Travel,SP,USD,14,Manual targeting,Dynamic bids - down only,2/6/18,NULL,40
1233,5,CLW_Auto_HandSaniWipes_Canister,SP,USD,14,Automatic targeting,Dynamic bids - up and down,5/8/19,NULL,5
1234,4,CLW_Comp_HandSaniSpray,SP,USD,14,Manual targeting,Dynamic bids - down only,2/6/18,NULL,100
1235,3,CLW_BR_DisfWipes,SP,USD,14,Manual targeting,Dynamic bids - down only,11/28/18,NULL,120.5
1236,6,CLW_Cat_DisfSpray,SP,USD,14,Manual targeting,Dynamic bids - down only,9/8/17,NULL,20
1237,4,CLW_BR_FoamingHandSanitizer,SP,USD,14,Manual targeting,Dynamic bids - down only,10/29/17,NULL,200
1238,3,CLW_Cat_DisfWipes,SP,USD,14,Manual targeting,Dynamic bids - up and down,11/28/18,NULL,300
1239,4,CLW_BR_HandSanitizerSpray,SP,USD,14,Manual targeting,Dynamic bids - down only,10/29/17,NULL,200
1240,1,KIYWORD.SP.CS.002,SP,USD,14,Manual targeting,Dynamic bids - down only,9/8/17,NULL,100
1241,6,CLW_Comp_DisfSpray,SP,USD,14,Manual targeting,Dynamic bids - down only,2/6/18,NULL,5
1242,5,CLW_Cat_HandSaniWipes_Travel,SP,USD,14,Manual targeting,Dynamic bids - down only,1/4/18,NULL,30
1243,2,CLW_BR_HandSoap,SP,USD,14,Manual targeting,Dynamic bids - down only,2/6/18,NULL,105
1244,5,CLW_Cat_HandSaniWipes_Canister,SP,USD,14,Manual targeting,Dynamic bids - down only,1/4/18,NULL,30
1245,5,CLW_Auto_HandSaniWipes_Travel,SP,USD,14,Automatic targeting,Dynamic bids - up and down,5/8/19,NULL,44
