id,campaign,date,impressions,impressions_previous_year,clics,click_previous_year,CtR,CpC,CpC_previous_year,spend,spend_previous_year,ACoS,RoAS,sales,orders,units,conversion_rate,page_views,NtB_orders,NtB_orders_percentage,NtB_sales,NtB_sales_persntage,NtB_units,NtB_units_percentage,NtB_order_rate
1,1,1/26/20,83,NULL,6,NULL,0.072289,1.03,NULL,6.2,NULL,0.110873,9.02,55.92,3,4,0.5,29,2,0.666667,36.47,0.652182,3,0.75,0.333333
2,1,1/27/20,35,NULL,3,NULL,0.085714,1.78,NULL,5.35,NULL,0.028578,34.99,187.21,5,9,1.66667,7,2,0.4,27.42,0.146467,2,0.222222,0.666667
3,1,1/28/20,174,NULL,7,NULL,0.04023,0.9,NULL,6.3,NULL,0.323907,3.09,19.45,1,1,0.142857,25,1,1,19.45,1,1,1,0.142857
4,1,1/29/20,154,NULL,7,NULL,0.045455,0.75,NULL,5.23,NULL,0.045047,22.2,116.1,4,5,0.571429,42,3,0.75,82.62,0.711628,3,0.6,0.428571
5,1,1/30/20,209,NULL,7,NULL,0.033493,1.19,NULL,8.34,NULL,0.068778,14.54,121.26,6,8,0.857143,43,4,0.666667,43.46,0.358403,4,0.5,0.571429
6,1,1/31/20,18,NULL,1,NULL,0.055556,0.85,NULL,0.85,NULL,NULL,0,0,0,0,0,16,0,NULL,0,NULL,0,NULL,0
7,1,2/1/20,276,NULL,3,NULL,0.01087,0.47,NULL,1.4,NULL,NULL,0,0,0,0,0,19,0,NULL,0,NULL,0,NULL,0
8,13,2/1/20,872,NULL,6,NULL,0.006881,0.29,NULL,1.72,NULL,NULL,0,0,0,0,0,5,0,NULL,0,NULL,0,NULL,0
9,14,1/26/20,565,NULL,6,NULL,0.010619,0.95,NULL,5.67,NULL,NULL,0,0,0,0,0,7,0,NULL,0,NULL,0,NULL,0
10,14,1/27/20,111,NULL,6,NULL,0.054054,0.86,NULL,5.16,NULL,NULL,0,0,0,0,0,15,0,NULL,0,NULL,0,NULL,0
11,14,1/28/20,601,NULL,6,NULL,0.009983,0.86,NULL,5.15,NULL,NULL,0,0,0,0,0,20,0,NULL,0,NULL,0,NULL,0
12,14,1/29/20,282,NULL,6,NULL,0.021277,0.9,NULL,5.41,NULL,NULL,0,0,0,0,0,12,0,NULL,0,NULL,0,NULL,0
13,14,1/30/20,658,NULL,7,NULL,0.010638,0.8,NULL,5.63,NULL,NULL,0,0,0,0,0,8,0,NULL,0,NULL,0,NULL,0
14,14,1/31/20,117,NULL,2,NULL,0.017094,0.8,NULL,1.6,NULL,NULL,0,0,0,0,0,3,0,NULL,0,NULL,0,NULL,0
15,14,2/1/20,1087,NULL,7,NULL,0.00644,0.73,NULL,5.11,NULL,NULL,0,0,0,0,0,10,0,NULL,0,NULL,0,NULL,0
16,21,1/26/20,602,NULL,10,NULL,0.016611,0.72,NULL,7.16,NULL,0.169749,5.89,42.18,3,3,0.3,11,3,1,42.18,1,3,1,0.3
17,21,1/27/20,322,NULL,7,NULL,0.021739,0.93,NULL,6.48,NULL,0.078708,12.71,82.33,5,5,0.714286,9,3,0.6,43.43,0.527511,3,0.6,0.428571
18,21,1/28/20,80,NULL,4,NULL,0.05,1.58,NULL,6.31,NULL,0.077566,12.89,81.35,2,19,0.5,31,2,1,81.35,1,19,1,0.5
19,21,1/29/20,71,NULL,4,NULL,0.056338,1.33,NULL,5.32,NULL,0.094679,10.56,56.19,4,10,1,12,4,1,56.19,1,10,1,1
20,21,1/30/20,28,NULL,3,NULL,0.107143,2.01,NULL,6.03,NULL,0.122511,8.16,49.22,2,2,0.666667,8,1,0.5,29.77,0.604835,1,0.5,0.333333
21,21,1/31/20,20,NULL,1,NULL,0.05,1.69,NULL,1.69,NULL,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
22,21,2/1/20,141,NULL,6,NULL,0.042553,1.01,NULL,6.04,NULL,NULL,0,0,0,0,0,17,0,NULL,0,NULL,0,NULL,0
23,28,1/26/20,365,NULL,8,NULL,0.021918,0.73,NULL,5.84,NULL,0.582834,1.72,10.02,2,3,0.25,16,0,0,0,0,0,0,0
24,28,1/27/20,636,NULL,9,NULL,0.014151,0.59,NULL,5.34,NULL,0.012559,79.63,425.21,5,15,0.555556,36,5,1,425.21,1,15,1,0.555556
25,28,1/28/20,369,NULL,6,NULL,0.01626,0.96,NULL,5.74,NULL,0.096438,10.37,59.52,2,2,0.333333,56,2,1,59.52,1,2,1,0.333333
26,28,1/29/20,239,NULL,7,NULL,0.029289,1.04,NULL,7.31,NULL,0.080118,12.48,91.24,4,6,0.571429,62,3,0.75,59.35,0.650482,5,0.833333,0.428571
27,28,1/30/20,270,NULL,7,NULL,0.025926,1.19,NULL,8.31,NULL,0.130312,7.67,63.77,4,6,0.571429,41,4,1,63.77,1,6,1,0.571429
28,28,1/31/20,65,NULL,1,NULL,0.015385,1.9,NULL,1.9,NULL,NULL,0,0,0,0,0,27,0,NULL,0,NULL,0,NULL,0
29,28,2/1/20,507,NULL,7,NULL,0.013807,0.6,NULL,4.23,NULL,0.217481,4.6,19.45,1,1,0.142857,22,1,1,19.45,1,1,1,0.142857
