id,placement,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate,page_views,NtB_orders,NtB_orders_percentage,NtB_sales,NtB_sales_percentage,NtB_units,NtB_units_persentage,NtB_order_rate
1,5698,10/13/19,149,3,0.020134,0.35,1.05,0.015996,0.6251,65.64,3,6,1,8,0,0,0,0,0,0,0
2,5698,10/14/19,145,4,0.027586,0.58,2.31,0.077154,0.1296,29.94,1,1,0.25,12,0,0,0,0,0,0,0
3,5698,10/15/19,129,3,0.023256,0.6,1.8,0.276074,0.0362,6.52,1,1,0.333333,21,0,0,0,0,0,0,0
4,5698,10/16/19,121,3,0.024793,0.7,2.1,0.060276,0.1659,34.84,2,2,0.666667,4,2,1,34.84,1,2,1,0.666667
5,5698,10/17/19,88,5,0.056818,0.53,2.66,0.13634,0.0733,19.51,1,1,0.2,6,1,1,19.51,1,1,1,0.2
6,5698,10/18/19,100,3,0.03,1.58,4.74,NULL,0,0,0,0,0,21,0,NULL,0,NULL,0,NULL,0
7,5698,10/19/19,129,6,0.046512,0.67,4.01,0.065363,0.153,61.35,2,3,0.333333,3,1,0.5,20.45,0.333333,1,0.333333,0.166667
8,5705,10/13/19,1765,6,0.003399,0.52,3.09,NULL,0,0,0,0,0,3,0,NULL,0,NULL,0,NULL,0
9,5705,10/14/19,1372,13,0.009475,0.51,6.61,0.144829,0.069,45.64,1,2,0.076923,12,1,1,45.64,1,2,1,0.076923
10,5705,10/15/19,772,13,0.016839,0.51,6.63,0.167424,0.0597,39.6,1,1,0.076923,15,0,0,0,0,0,0,0
11,5705,10/16/19,293,6,0.020478,0.52,3.1,0.131523,0.076,23.57,1,1,0.166667,4,1,1,23.57,1,1,1,0.166667
12,5705,10/17/19,260,9,0.034615,0.58,5.22,0.124286,0.0805,42,3,3,0.333333,13,3,1,42,1,3,1,0.333333
13,5705,10/18/19,200,4,0.02,0.54,2.14,NULL,0,0,0,0,0,3,0,NULL,0,NULL,0,NULL,0
14,5705,10/19/19,204,1,0.004902,0.42,0.42,NULL,0,0,0,0,0,4,0,NULL,0,NULL,0,NULL,0
15,5712,10/13/19,130,1,0.007692,0.5,0.5,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
16,5712,10/14/19,153,2,0.013072,0.73,1.45,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
17,5712,10/15/19,150,1,0.006667,0.5,0.5,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
18,5712,10/16/19,174,2,0.011494,0.45,0.9,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
19,5712,10/17/19,143,3,0.020979,0.43,1.3,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
20,5712,10/18/19,134,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
21,5712,10/19/19,160,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
22,5719,10/13/19,3396,2,0.000589,0.1,0.2,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
23,5719,10/14/19,2821,3,0.001063,0.1,0.3,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
24,5719,10/15/19,2460,3,0.00122,0.1,0.3,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
25,5719,10/16/19,1521,1,0.000657,0.1,0.1,NULL,0,0,0,0,0,6,0,NULL,0,NULL,0,NULL,0
26,5719,10/17/19,1146,1,0.000873,0.1,0.1,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
27,5719,10/18/19,1038,1,0.000963,0.1,0.1,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
28,5719,10/19/19,1218,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
29,5726,10/13/19,276,1,0.003623,0.4,0.4,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
30,5726,10/14/19,458,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
31,5726,10/15/19,414,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
32,5726,10/16/19,408,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
33,5726,10/17/19,346,1,0.00289,0.6,0.6,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
34,5726,10/18/19,288,1,0.003472,0.4,0.4,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
35,5726,10/19/19,264,0,0,NULL,0,0,NULL,3.58,1,1,NULL,1,1,1,3.58,1,1,1,NULL
