id,ad_group,target,search_term
9974,1,60239,hand cleaner and sanitizer dispenser wall mount
720,1,60239,hand gel sanitizer
9975,1,60239,hand gel sanitizer travel
8639,1,60239,hand lotion sanitizer
9976,1,60239,sanitizer dry hands
9977,1,60239,sanitizer hand organic
1528,1,60239,sanitizer hand soap for kittchen
3830,1,60239,sanitizer hands
2222,1,60239,uv sanitizer hands
4824,1,60244,24 hour spray hand sanitizer
4825,1,60244,antiseptic spray hand sanitizer
2927,1,60244,babyganics spray hand sanitizer
2223,1,60244,best travel spray hand sanitizer
8640,1,60244,bulk hand sanitizer travel spray
8641,1,60244,clip on spray hand sanitizer
4826,1,60244,compact spray hand sanitizer
721,1,60244,flat spray hand sanitizer
4828,1,60244,germ x spray hand sanitizer
722,1,60244,germx spray hand sanitizer
5816,1,60244,hand sanitizer bug spray
7504,1,60244,hand sanitizer mist spray
723,1,60244,hand sanitizer seventh generation spray
3831,1,60244,hand sanitizer travel spray
4829,1,60244,hand wash sanitizer spray
3832,1,60244,hanging spray hand sanitizer
9978,1,60244,keychain spray hand sanitizer
724,1,60244,lavendar spray hand sanitizer
8642,1,60244,liquid spray hand sanitizer
5817,1,60244,livingwell spray hand sanitizer
2929,1,60244,medical grade hand sanitizer wipes and spray
4830,1,60244,mini spray hand sanitizer
6714,1,60244,organic spray hand sanitizer
8644,1,60244,purse size spray hand sanitizer
8645,1,60244,refill spray hand sanitizer
1529,1,60244,small spray hand sanitizer
2930,1,60244,small spray hand sanitizers
2225,1,60244,spray antibacterial hand sanitizer
4831,1,60244,spray hand sanitizer 1 oz
3834,1,60244,spray hand sanitizer bath and body works
3835,1,60244,spray hand sanitizer eucalyptus
9980,1,60244,spray hand sanitizer meyers
1530,1,60244,spray hand sanitizer non scentwd
5819,1,60244,spray hand sanitizer orange
9981,1,60244,spray hand sanitizer scented
4832,1,60244,spray hand sanitizer smoker
5820,1,60244,spray hand sanitizer travel
4833,1,60244,spray natural hand sanitizer
9982,1,60244,spray sanitizer for hands
8646,1,60244,spray sanitizer hand
725,1,60244,thin spray hand sanitizer
4835,1,60249,hand sanitizer and wipes
9983,1,60249,hand sanitizer wipe
1,1,60249,hand sanitizer wipes
9991,1,60254,hand sanitizer refill
2937,1,60286,hand sanitizer wipes travel
7511,1,60292,hand sanitizer dispenser refill
4843,1,60293,"""green seal"" certified hand sanitizer"
7512,1,60293,0.5 hand sanitizer wipes
8654,1,60293,0.5 oz hand sanitizer
732,1,60293,1 bath and bodyworks hand sanitizer
2231,1,60293,1 bottle of hand sanitizer
3842,1,60293,1 gallon hand sanitizer
2232,1,60293,100ml hand sanitizer
8655,1,60293,2 oz hand sanitizer
2940,1,60293,2l alcohol hand sanitizer
3843,1,60293,365 lavendar hand sanitizer wipes
7513,1,60293,365 orange blossom hand sanitizer
8656,1,60293,3oz hand sanitizer
9993,1,60293,5 oz hand sanitizer
733,1,60293,7th generation hand sanitizer
3845,1,60293,80% ethyl alcohol hand sanitizer
3846,1,60293,85% alcohol hand sanitizer
8657,1,60293,alcholol free hand sanitizer
3847,1,60293,all day hand sanitizer
2941,1,60293,all good hand sanitizer
1534,1,60293,all natuasl hand sanitizer
7,1,60293,all natural hand sanitizer
9,1,60293,all natural hand sanitizer 1
1535,1,60293,all terrain hand sanitizer
8658,1,60293,almond hand sanitizer
1536,1,60293,amazon brand hand sanitizer
9995,1,60293,amazon hand sanitizer
2942,1,60293,amuchina hand sanitizer
7516,1,60293,anti-microbial benzethonium chloride hand sanitizer
9996,1,60293,antibacterial rinse free hand sanitizer
10,1,60293,antifungal hand sanitizer
8659,1,60293,apple scented hand sanitizer
3848,1,60293,aromatherapy hand sanitizer
9997,1,60293,assured hand sanitizer
2943,1,60293,assured hand sanitizer instant lavender scented
4846,1,60293,avon hand sanitizer
11,1,60293,baby hand sanitizer
8660,1,60293,baby safe hand sanitizer
6719,1,60293,babyganics bulk hand sanitizer
5829,1,60293,babyganics hand sanitizer on the go
13,1,60293,babyganics hand sanitizer refil
736,1,60293,babyganics hand sanitizer refillable
3849,1,60293,babyganics hand sanitizer traveling
14,1,60293,babyganics hand sanitizer wipes
737,1,60293,backpack hand sanitizer for sensitive skin
738,1,60293,bath & body hand sanitizer
2944,1,60293,bath & body works pocketbac hand sanitizer
1537,1,60293,bath and body hand sanitizer holder
7517,1,60293,bath and body works fall hand sanitizer
1538,1,60293,bath and body works halloween hand sanitizer
8662,1,60293,bath and body works hand sanitizer christmas scents
7518,1,60293,bath and body works hand sanitizer fome
739,1,60293,bath and body works hand sanitizer holder
9999,1,60293,bath and body works large hand sanitizer
15,1,60293,bath hand sanitizer
2236,1,60293,bath n body works hand sanitizer
3850,1,60293,beach bum hand sanitizer
2237,1,60293,benzalkonium chloride hand sanitizer
16,1,60293,benzalkonium chloride hand sanitizer purse size
1539,1,60293,benzethonium chloride hand sanitizer
5831,1,60293,better life hand sanitizer
10000,1,60293,bio hand sanitizer
17,1,60293,biodegradable hand sanitizer
8665,1,60293,black canyon wintergreen scented hand sanitizer
2946,1,60293,bleach free hand sanitizer
10001,1,60293,body works cheap hand sanitizer
18,1,60293,bookbag hand sanitizer
8666,1,60293,botanical hand sanitizer
10002,1,60293,box of elyptol hand sanitizer 0.5 fl.oz
740,1,60293,boy hand sanitizer holder
5832,1,60293,bronner hand sanitizer
3851,1,60293,bulk hand sanitizer
19,1,60293,bulk individual hand sanitizer
4847,1,60293,bulk travel hand sanitizer
2947,1,60293,burt bees hand sanitizer
4848,1,60293,burts bee hand sanitizer
2239,1,60293,burts bees hand sanitizer
1540,1,60293,burts beeswax hand sanitizer
2948,1,60293,candy hand sanitizer
3854,1,60293,car hand sanitizer
10004,1,60293,carry on hand sanitizer
3855,1,60293,cat hand sanitizer holder
10005,1,60293,champagne hand sanitizer
10006,1,60293,cheap hand sanitizer
10007,1,60293,chemical free hand sanitizer
2949,1,60293,cherry blossom hand sanitizer
8667,1,60293,children hand sanitizer
7522,1,60293,christmas hand sanitizer holder
741,1,60293,citrus hand sanitizer
5834,1,60293,claires hand sanitizer
20,1,60293,clean well hand sanitizer
742,1,60293,cleansmart hand sanitizer
10008,1,60293,cleanwell 1 oz hand sanitizer
1541,1,60293,cleanwell botanical hand sanitizer
2240,1,60293,cleanwell foamin hand sanitizer
4851,1,60293,cleanwell hand sanitizer addon
5835,1,60293,cleanwell hand sanitizer large
2241,1,60293,cleanwell hand sanitizer wipes
743,1,60293,cleanwell natural hand sanitizer
2244,1,60293,cleanwell orange vanilla hand sanitizer
10012,1,60293,clip on travel hand sanitizers
5841,1,60293,clorox hand sanitizer
746,1,60293,coconut hand sanitizer
3861,1,60293,coconut lemongrass hand sanitizer
