id,search,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate,advertised_asin_units,advertised_asin_sales,advertised_brand_units,advertised_brand_sales
1,1,7/28/19,491,1,0.002037,1.88,1.88,NULL,0,0,0,0,0,0,0,0,0
2,1,8/1/19,329,1,0.00304,1.84,1.84,0.080174,0.1247,22.95,1,1,1,1,22.95,0,0
5,1,8/2/19,394,1,0.002538,2.07,2.07,NULL,0,0,0,0,0,0,0,0,0
6,1,8/3/19,216,2,0.009259,2.05,4.1,0.184022,0.0543,22.28,2,2,1,2,22.28,0,0
7,7,8/1/19,26,2,0.076923,2.13,4.25,0.220321,0.0454,19.29,1,1,0.5,1,19.29,0,0
8,7,8/3/19,19,1,0.052632,0.75,0.75,NULL,0,0,0,0,0,0,0,0,0
9,9,7/28/19,1,1,1,1.59,1.59,NULL,0,0,0,0,0,0,0,0,0
10,10,8/1/19,4,1,0.25,1.2,1.2,NULL,0,0,0,0,0,0,0,0,0
11,11,7/28/19,118,2,0.016949,1.4,2.79,0.193885,0.0516,14.39,1,1,0.5,1,14.39,0,0
12,11,8/2/19,117,1,0.008547,1.02,1.02,NULL,0,0,0,0,0,0,0,0,0
13,13,8/2/19,9,1,0.111111,1.8,1.8,NULL,0,0,0,0,0,0,0,0,0
14,14,8/2/19,10,1,0.1,1.78,1.78,NULL,0,0,0,0,0,0,0,0,0
15,15,8/1/19,12,1,0.083333,2.09,2.09,NULL,0,0,0,0,0,0,0,0,0
16,16,8/1/19,15,1,0.066667,0.74,0.74,NULL,0,0,0,0,0,0,0,0,0
17,17,7/28/19,16,1,0.0625,1.73,1.73,0.655303,0.0153,2.64,1,1,1,1,2.64,0,0
18,18,7/28/19,6,1,0.166667,1.19,1.19,NULL,0,0,0,0,0,0,0,0,0
19,19,8/3/19,7,1,0.142857,1.71,1.71,NULL,0,0,0,0,0,0,0,0,0
20,20,7/28/19,1,1,1,0.59,0.59,NULL,0,0,0,0,0,0,0,0,0
21,21,7/29/19,5,1,0.2,0.58,0.58,NULL,0,0,0,0,0,0,0,0,0
22,21,8/3/19,9,1,0.111111,0.92,0.92,NULL,0,0,0,0,0,0,0,0,0
23,23,8/1/19,64,2,0.03125,1.74,3.47,1.31439,0.0076,2.64,1,1,0.5,1,2.64,0,0
24,24,8/3/19,1,1,1,1.64,1.64,0.621212,0.0161,2.64,1,1,1,1,2.64,0,0
25,25,8/2/19,20,2,0.1,2.19,4.38,NULL,0,0,0,0,0,0,0,0,0
26,26,8/3/19,40,1,0.025,1.74,1.74,NULL,0,0,0,0,0,0,0,0,0
27,27,8/2/19,8,1,0.125,0.6,0.6,NULL,0,0,0,0,0,0,0,0,0
28,28,7/28/19,7,2,0.285714,1.63,3.26,NULL,0,0,0,0,0,0,0,0,0
29,28,8/2/19,5,1,0.2,1.68,1.68,NULL,0,0,0,0,0,0,0,0,0
30,30,8/3/19,95,1,0.010526,1.66,1.66,NULL,0,0,0,0,0,0,0,0,0
31,31,7/28/19,6,1,0.166667,2.15,2.15,NULL,0,0,0,0,0,0,0,0,0
32,32,8/2/19,133,1,0.007519,1.68,1.68,NULL,0,0,0,0,0,0,0,0,0
33,33,8/1/19,723,1,0.001383,2.54,2.54,NULL,0,0,0,0,0,0,0,0,0
34,33,8/3/19,584,1,0.001712,1.8,1.8,NULL,0,0,0,0,0,0,0,0,0
35,35,7/28/19,1,1,1,2.61,2.61,NULL,0,0,0,0,0,0,0,0,0
36,36,8/2/19,10,1,0.1,1.8,1.8,NULL,0,0,0,0,0,0,0,0,0
37,37,8/3/19,180,1,0.005556,0.86,0.86,NULL,0,0,0,0,0,0,0,0,0
38,38,7/28/19,34,1,0.029412,1.7,1.7,NULL,0,0,0,0,0,0,0,0,0
39,39,8/2/19,2,1,0.5,1.14,1.14,NULL,0,0,0,0,0,0,0,0,0
40,40,8/2/19,4,1,0.25,0.81,0.81,NULL,0,0,0,0,0,0,0,0,0
41,41,8/2/19,55,1,0.018182,2.38,2.38,NULL,0,0,0,0,0,0,0,0,0
42,42,7/28/19,30,1,0.033333,1.22,1.22,NULL,0,0,0,0,0,0,0,0,0
43,43,8/2/19,130,1,0.007692,1.22,1.22,NULL,0,0,0,0,0,0,0,0,0
44,44,7/28/19,4,1,0.25,1.51,1.51,NULL,0,0,0,0,0,0,0,0,0
45,45,8/3/19,15,1,0.066667,0.35,0.35,NULL,0,0,0,0,0,0,0,0,0
46,46,8/3/19,156,1,0.00641,1.67,1.67,NULL,0,0,0,0,0,0,0,0,0
47,47,8/2/19,3,1,0.333333,1.71,1.71,NULL,0,0,0,0,0,0,0,0,0
48,48,8/2/19,13,1,0.076923,1.38,1.38,NULL,0,0,0,0,0,0,0,0,0
49,49,8/1/19,9,1,0.111111,1.01,1.01,NULL,0,0,0,0,0,0,0,0,0
50,50,8/3/19,33,1,0.030303,1.8,1.8,NULL,0,0,0,0,0,0,0,0,0
51,51,8/1/19,3,1,0.333333,1.56,1.56,0.590909,0.0169,2.64,1,1,1,1,2.64,0,0
52,52,8/1/19,19,1,0.052632,0.58,0.58,NULL,0,0,0,0,0,0,0,0,0
53,53,8/2/19,18,1,0.055556,1.24,1.24,NULL,0,0,0,0,0,0,0,0,0
54,54,7/28/19,538,1,0.001859,1.74,1.74,0.090202,0.1109,19.29,1,1,1,1,19.29,0,0
55,54,8/1/19,790,1,0.001266,1.62,1.62,NULL,0,0,0,0,0,0,0,0,0
56,54,8/2/19,524,1,0.001908,1.18,1.18,NULL,0,0,0,0,0,0,0,0,0
57,57,7/29/19,5,1,0.2,1.47,1.47,NULL,0,0,0,0,0,0,0,0,0
58,58,8/1/19,98,1,0.010204,1.6,1.6,NULL,0,0,0,0,0,0,0,0,0
59,59,8/1/19,48,1,0.020833,1.8,1.8,NULL,0,0,0,0,0,0,0,0,0
60,60,8/1/19,284,1,0.003521,1.75,1.75,NULL,0,0,0,0,0,0,0,0,0
61,61,8/2/19,25,1,0.04,1.75,1.75,NULL,0,0,0,0,0,0,0,0,0
62,62,7/28/19,12,1,0.083333,1.73,1.73,0.218434,0.0458,7.92,1,3,1,3,7.92,0,0
63,62,8/3/19,15,1,0.066667,1.81,1.81,NULL,0,0,0,0,0,0,0,0,0
64,64,8/3/19,3,1,0.333333,1.79,1.79,NULL,0,0,0,0,0,0,0,0,0
65,65,8/1/19,1,1,1,0.69,0.69,NULL,0,0,0,0,0,0,0,0,0
66,66,8/3/19,123,1,0.00813,1.69,1.69,NULL,0,0,0,0,0,0,0,0,0
67,67,7/28/19,4,1,0.25,1.69,1.69,NULL,0,0,0,0,0,0,0,0,0
68,68,7/28/19,2,1,0.5,1.11,1.11,NULL,0,0,0,0,0,0,0,0,0
69,69,8/2/19,13,1,0.076923,2.46,2.46,NULL,0,0,0,0,0,0,0,0,0
70,70,8/2/19,1,1,1,0.08,0.08,NULL,0,0,0,0,0,0,0,0,0
71,71,8/2/19,3,1,0.333333,1.53,1.53,NULL,0,0,0,0,0,0,0,0,0
72,72,7/28/19,48,1,0.020833,1.74,1.74,NULL,0,0,0,0,0,0,0,0,0
73,73,8/3/19,65,1,0.015385,1.67,1.67,0.210859,0.0474,7.92,1,3,1,3,7.92,0,0
74,74,8/3/19,1,1,1,1.58,1.58,NULL,0,0,0,0,0,0,0,0,0
75,75,8/1/19,4,1,0.25,1.23,1.23,NULL,0,0,0,0,0,0,0,0,0
76,76,8/1/19,80,1,0.0125,1.4,1.4,NULL,0,0,0,0,0,0,0,0,0
77,77,8/2/19,50,1,0.02,1.81,1.81,NULL,0,0,0,0,0,0,0,0,0
78,78,8/1/19,39,1,0.025641,1.81,1.81,NULL,0,0,0,0,0,0,0,0,0
79,79,8/2/19,6,2,0.333333,0.69,1.38,NULL,0,0,0,0,0,0,0,0,0
80,80,8/1/19,33,2,0.060606,1.95,3.9,NULL,0,0,0,0,0,0,0,0,0
81,81,7/29/19,8,1,0.125,1.77,1.77,0.335227,0.0298,5.28,1,2,1,2,5.28,0,0
82,82,8/2/19,1,1,1,1.6,1.6,NULL,0,0,0,0,0,0,0,0,0
83,83,8/2/19,4,1,0.25,1.68,1.68,NULL,0,0,0,0,0,0,0,0,0
84,84,8/2/19,5,1,0.2,1.75,1.75,0.488827,0.0205,3.58,1,1,1,0,0,1,3.58
85,85,7/28/19,13,2,0.153846,1.54,3.08,1.16667,0.0086,2.64,1,1,0.5,1,2.64,0,0
86,86,8/1/19,9,1,0.111111,1.63,1.63,NULL,0,0,0,0,0,0,0,0,0
87,87,8/1/19,1,1,1,0.02,0.02,NULL,0,0,0,0,0,0,0,0,0
88,88,7/28/19,3,1,0.333333,1.71,1.71,NULL,0,0,0,0,0,0,0,0,0
89,89,8/2/19,3,1,0.333333,0.82,0.82,NULL,0,0,0,0,0,0,0,0,0
90,90,8/1/19,14,1,0.071429,0.33,0.33,NULL,0,0,0,0,0,0,0,0,0
91,90,8/3/19,5,1,0.2,0.49,0.49,NULL,0,0,0,0,0,0,0,0,0
92,92,8/3/19,2,1,0.5,1.75,1.75,NULL,0,0,0,0,0,0,0,0,0
93,93,7/28/19,110,1,0.009091,1.77,1.77,NULL,0,0,0,0,0,0,0,0,0
94,94,7/28/19,1,1,1,1.37,1.37,0.518939,0.0193,2.64,1,1,1,1,2.64,0,0
