id,eventdate,clicks,cpc,spend
1,10/13/19,155,1.56,242.42
2,10/14/19,163,1.62,263.41
3,10/15/19,114,1.53,174.83
4,10/16/19,75,1.14,85.3
5,10/17/19,52,1.28,66.77
6,10/18/19,6,0.84,5.05
7,10/19/19,27,1.1,29.66
8,10/20/19,30,1.15,34.64
9,10/21/19,34,0.99,33.7
10,10/22/19,28,1.23,34.39
11,10/23/19,52,1.08,56.13
12,10/24/19,23,1.25,28.76
13,10/25/19,66,1.08,71.34
14,10/26/19,63,1.14,71.53
15,10/27/19,86,1.26,108.42
16,10/28/19,68,1.2,81.93
17,10/29/19,69,1.17,81
18,10/30/19,109,1.26,137.06
19,10/31/19,84,1.3,109.3
20,11/1/19,132,1.25,164.65
21,11/2/19,165,1.24,204.87
22,11/3/19,237,1.26,299.4
23,11/4/19,112,1.32,148.22
24,11/5/19,115,1.4,161.12
25,11/6/19,89,1.37,121.7
26,11/7/19,116,1.33,153.77
27,11/8/19,97,1.24,119.86
28,11/9/19,106,1.4,148.24
29,11/10/19,119,1.17,138.66
30,11/11/19,134,1.16,154.86
31,11/12/19,142,1.26,178.55
32,11/13/19,132,1.22,161.66
33,11/14/19,132,1.26,166.66
34,11/15/19,127,1.32,167.3
35,11/16/19,134,1.22,163.29
36,10/20/19,84,0.53,44.91
37,10/21/19,84,0.62,52.01
38,10/22/19,78,0.54,42.31
39,10/23/19,77,0.68,52.71
40,10/24/19,62,0.7,43.51
41,10/25/19,52,0.57,29.73
42,10/26/19,54,0.56,30.1
43,10/13/19,81,0.53,42.59
44,10/14/19,80,0.57,45.83
45,10/15/19,78,0.72,56.19
46,10/16/19,89,0.5,44.51
47,10/17/19,84,0.54,45.31
48,10/18/19,66,0.7,46.1
49,10/19/19,81,0.48,38.51
50,10/13/19,155,1.56,242.42
51,10/14/19,163,1.62,263.41
52,10/15/19,114,1.53,174.83
53,10/16/19,75,1.14,85.3
54,10/17/19,52,1.28,66.77
55,10/18/19,6,0.84,5.05
56,10/19/19,27,1.1,29.66
57,10/20/19,30,1.15,34.64
58,10/21/19,34,0.99,33.7
59,10/22/19,28,1.23,34.39
60,10/23/19,52,1.08,56.13
61,10/24/19,23,1.25,28.76
62,10/25/19,66,1.08,71.34
63,10/26/19,63,1.14,71.53
64,10/27/19,86,1.26,108.42
65,10/28/19,68,1.2,81.93
66,10/29/19,69,1.17,81
67,10/30/19,109,1.26,137.06
68,10/31/19,84,1.3,109.3
69,11/1/19,132,1.25,164.65
70,11/2/19,165,1.24,204.87
71,11/3/19,237,1.26,299.4
72,11/4/19,112,1.32,148.22
73,11/5/19,115,1.4,161.12
74,11/6/19,89,1.37,121.7
75,11/7/19,116,1.33,153.77
76,11/8/19,97,1.24,119.86
77,11/9/19,106,1.4,148.24
78,11/10/19,119,1.17,138.66
79,11/11/19,134,1.16,154.86
80,11/12/19,142,1.26,178.55
81,11/13/19,132,1.22,161.66
82,11/14/19,132,1.26,166.66
83,11/15/19,127,1.32,167.3
84,11/16/19,134,1.22,163.29
85,10/20/19,84,0.53,44.91
86,10/21/19,84,0.62,52.01
87,10/22/19,78,0.54,42.31
88,10/23/19,77,0.68,52.71
89,10/24/19,62,0.7,43.51
90,10/25/19,52,0.57,29.73
91,10/26/19,54,0.56,30.1
92,10/13/19,81,0.53,42.59
93,10/14/19,80,0.57,45.83
94,10/15/19,78,0.72,56.19
95,10/16/19,89,0.5,44.51
96,10/17/19,84,0.54,45.31
97,10/18/19,66,0.7,46.1
98,10/19/19,81,0.48,38.51
99,10/13/19,155,1.56,242.42
100,10/14/19,163,1.62,263.41
101,10/15/19,114,1.53,174.83
102,10/16/19,75,1.14,85.3
103,10/17/19,52,1.28,66.77
104,10/18/19,6,0.84,5.05
105,10/19/19,27,1.1,29.66
106,10/20/19,30,1.15,34.64
107,10/21/19,34,0.99,33.7
108,10/22/19,28,1.23,34.39
109,10/23/19,52,1.08,56.13
110,10/24/19,23,1.25,28.76
111,10/25/19,66,1.08,71.34
112,10/26/19,63,1.14,71.53
113,10/27/19,86,1.26,108.42
114,10/28/19,68,1.2,81.93
115,10/29/19,69,1.17,81
116,10/30/19,109,1.26,137.06
117,10/31/19,84,1.3,109.3
118,11/1/19,132,1.25,164.65
119,11/2/19,165,1.24,204.87
120,11/3/19,237,1.26,299.4
121,11/4/19,112,1.32,148.22
122,11/5/19,115,1.4,161.12
123,11/6/19,89,1.37,121.7
124,11/7/19,116,1.33,153.77
125,11/8/19,97,1.24,119.86
126,11/9/19,106,1.4,148.24
127,11/10/19,119,1.17,138.66
128,11/11/19,134,1.16,154.86
129,11/12/19,142,1.26,178.55
130,11/13/19,132,1.22,161.66
131,11/14/19,132,1.26,166.66
132,11/15/19,127,1.32,167.3
133,11/16/19,134,1.22,163.29
134,10/20/19,84,0.53,44.91
135,10/21/19,84,0.62,52.01
136,10/22/19,78,0.54,42.31
137,10/23/19,77,0.68,52.71
138,10/24/19,62,0.7,43.51
139,10/25/19,52,0.57,29.73
140,10/26/19,54,0.56,30.1
141,10/13/19,81,0.53,42.59
142,10/14/19,80,0.57,45.83
143,10/15/19,78,0.72,56.19
144,10/16/19,89,0.5,44.51
145,10/17/19,84,0.54,45.31
146,10/18/19,66,0.7,46.1
147,10/19/19,81,0.48,38.51
148,10/13/19,155,1.56,242.42
149,10/14/19,163,1.62,263.41
150,10/15/19,114,1.53,174.83
151,10/16/19,75,1.14,85.3
152,10/17/19,52,1.28,66.77
153,10/18/19,6,0.84,5.05
154,10/19/19,27,1.1,29.66
155,10/20/19,30,1.15,34.64
156,10/21/19,34,0.99,33.7
157,10/22/19,28,1.23,34.39
158,10/23/19,52,1.08,56.13
159,10/24/19,23,1.25,28.76
160,10/25/19,66,1.08,71.34
161,10/26/19,63,1.14,71.53
162,10/27/19,86,1.26,108.42
163,10/28/19,68,1.2,81.93
164,10/29/19,69,1.17,81
165,10/30/19,109,1.26,137.06
166,10/31/19,84,1.3,109.3
167,11/1/19,132,1.25,164.65
168,11/2/19,165,1.24,204.87
169,11/3/19,237,1.26,299.4
170,11/4/19,112,1.32,148.22
171,11/5/19,115,1.4,161.12
172,11/6/19,89,1.37,121.7
173,11/7/19,116,1.33,153.77
174,11/8/19,97,1.24,119.86
175,11/9/19,106,1.4,148.24
176,11/10/19,119,1.17,138.66
177,11/11/19,134,1.16,154.86
178,11/12/19,142,1.26,178.55
179,11/13/19,132,1.22,161.66
180,11/14/19,132,1.26,166.66
181,11/15/19,127,1.32,167.3
182,11/16/19,134,1.22,163.29
183,10/20/19,84,0.53,44.91
184,10/21/19,84,0.62,52.01
185,10/22/19,78,0.54,42.31
186,10/23/19,77,0.68,52.71
187,10/24/19,62,0.7,43.51
188,10/25/19,52,0.57,29.73
189,10/26/19,54,0.56,30.1
190,10/13/19,81,0.53,42.59
191,10/14/19,80,0.57,45.83
192,10/15/19,78,0.72,56.19
193,10/16/19,89,0.5,44.51
194,10/17/19,84,0.54,45.31
195,10/18/19,66,0.7,46.1
196,10/19/19,81,0.48,38.51
197,10/13/19,155,1.56,242.42
198,10/14/19,163,1.62,263.41
199,10/15/19,114,1.53,174.83
200,10/16/19,75,1.14,85.3
201,10/17/19,52,1.28,66.77
202,10/18/19,6,0.84,5.05
203,10/19/19,27,1.1,29.66
204,10/20/19,30,1.15,34.64
205,10/21/19,34,0.99,33.7
206,10/22/19,28,1.23,34.39
207,10/23/19,52,1.08,56.13
208,10/24/19,23,1.25,28.76
209,10/25/19,66,1.08,71.34
210,10/26/19,63,1.14,71.53
211,10/27/19,86,1.26,108.42
212,10/28/19,68,1.2,81.93
213,10/29/19,69,1.17,81
214,10/30/19,109,1.26,137.06
215,10/31/19,84,1.3,109.3
216,11/1/19,132,1.25,164.65
217,11/2/19,165,1.24,204.87
218,11/3/19,237,1.26,299.4
219,11/4/19,112,1.32,148.22
220,11/5/19,115,1.4,161.12
221,11/6/19,89,1.37,121.7
222,11/7/19,116,1.33,153.77
223,11/8/19,97,1.24,119.86
224,11/9/19,106,1.4,148.24
225,11/10/19,119,1.17,138.66
226,11/11/19,134,1.16,154.86
227,11/12/19,142,1.26,178.55
228,11/13/19,132,1.22,161.66
229,11/14/19,132,1.26,166.66
230,11/15/19,127,1.32,167.3
231,11/16/19,134,1.22,163.29
232,10/20/19,84,0.53,44.91
233,10/21/19,84,0.62,52.01
234,10/22/19,78,0.54,42.31
235,10/23/19,77,0.68,52.71
236,10/24/19,62,0.7,43.51
237,10/25/19,52,0.57,29.73
238,10/26/19,54,0.56,30.1
239,10/13/19,81,0.53,42.59
240,10/14/19,80,0.57,45.83
241,10/15/19,78,0.72,56.19
242,10/16/19,89,0.5,44.51
243,10/17/19,84,0.54,45.31
244,10/18/19,66,0.7,46.1
245,10/19/19,81,0.48,38.51
246,10/13/19,155,1.56,242.42
247,10/14/19,163,1.62,263.41
248,10/15/19,114,1.53,174.83
249,10/16/19,75,1.14,85.3
250,10/17/19,52,1.28,66.77
251,10/18/19,6,0.84,5.05
252,10/19/19,27,1.1,29.66
253,10/20/19,30,1.15,34.64
254,10/21/19,34,0.99,33.7
255,10/22/19,28,1.23,34.39
256,10/23/19,52,1.08,56.13
257,10/24/19,23,1.25,28.76
258,10/25/19,66,1.08,71.34
259,10/26/19,63,1.14,71.53
260,10/27/19,86,1.26,108.42
261,10/28/19,68,1.2,81.93
262,10/29/19,69,1.17,81
263,10/30/19,109,1.26,137.06
264,10/31/19,84,1.3,109.3
265,11/1/19,132,1.25,164.65
266,11/2/19,165,1.24,204.87
267,11/3/19,237,1.26,299.4
268,11/4/19,112,1.32,148.22
269,11/5/19,115,1.4,161.12
270,11/6/19,89,1.37,121.7
271,11/7/19,116,1.33,153.77
272,11/8/19,97,1.24,119.86
273,11/9/19,106,1.4,148.24
274,11/10/19,119,1.17,138.66
275,11/11/19,134,1.16,154.86
276,11/12/19,142,1.26,178.55
277,11/13/19,132,1.22,161.66
278,11/14/19,132,1.26,166.66
279,11/15/19,127,1.32,167.3
280,11/16/19,134,1.22,163.29
281,10/20/19,84,0.53,44.91
282,10/21/19,84,0.62,52.01
283,10/22/19,78,0.54,42.31
284,10/23/19,77,0.68,52.71
285,10/24/19,62,0.7,43.51
286,10/25/19,52,0.57,29.73
287,10/26/19,54,0.56,30.1
288,10/13/19,81,0.53,42.59
289,10/14/19,80,0.57,45.83
290,10/15/19,78,0.72,56.19
291,10/16/19,89,0.5,44.51
292,10/17/19,84,0.54,45.31
293,10/18/19,66,0.7,46.1
294,10/19/19,81,0.48,38.51
295,10/13/19,155,1.56,242.42
296,10/14/19,163,1.62,263.41
297,10/15/19,114,1.53,174.83
298,10/16/19,75,1.14,85.3
299,10/17/19,52,1.28,66.77
300,10/18/19,6,0.84,5.05
301,10/19/19,27,1.1,29.66
302,10/20/19,30,1.15,34.64
303,10/21/19,34,0.99,33.7
304,10/22/19,28,1.23,34.39
305,10/23/19,52,1.08,56.13
306,10/24/19,23,1.25,28.76
307,10/25/19,66,1.08,71.34
308,10/26/19,63,1.14,71.53
309,10/27/19,86,1.26,108.42
310,10/28/19,68,1.2,81.93
311,10/29/19,69,1.17,81
312,10/30/19,109,1.26,137.06
313,10/31/19,84,1.3,109.3
314,11/1/19,132,1.25,164.65
315,11/2/19,165,1.24,204.87
316,11/3/19,237,1.26,299.4
317,11/4/19,112,1.32,148.22
318,11/5/19,115,1.4,161.12
319,11/6/19,89,1.37,121.7
320,11/7/19,116,1.33,153.77
321,11/8/19,97,1.24,119.86
322,11/9/19,106,1.4,148.24
