id,campaign,term,match_type
16384,1,best all natural hand sanitizer,BROAD
40174,1,best all natural hand sanitizer,Top of Search
11703,1,clean and well products,EXACT
33817,1,clean and well products,Other Placements
33814,1,clean and well products,Top of Search
10698,1,clean cleaners,BROAD
11238,1,clean cleaners,EXACT
32463,1,clean cleaners,Other Placements
10704,1,clean cleaners,PHRASE
32458,1,clean cleaners,Top of Search
12922,1,clean well,BROAD
10707,1,clean well,EXACT
32497,1,clean well,Other Placements
10708,1,clean well,PHRASE
32495,1,clean well,Top of Search
13486,1,clean well cleaners,BROAD
36259,1,clean well cleaners,Top of Search
16410,1,clean well disinfecting wipes,BROAD
40285,1,clean well disinfecting wipes,Top of Search
16411,1,clean well foam soap refill,BROAD
40290,1,clean well foam soap refill,Top of Search
11729,1,clean well foaming hand sanitizer,BROAD
33899,1,clean well foaming hand sanitizer,Other Placements
34678,1,clean well foaming hand sanitizer,Top of Search
16416,1,clean well foaming sanitizer,BROAD
40309,1,clean well foaming sanitizer,Top of Search
11730,1,clean well hand sanitizer,BROAD
11732,1,clean well hand sanitizer,EXACT
33902,1,clean well hand sanitizer,Other Placements
16423,1,clean well hand sanitizer,PHRASE
33900,1,clean well hand sanitizer,Top of Search
16424,1,clean well hand sanitizers,BROAD
12932,1,clean well hand sanitizers,EXACT
11734,1,clean well hand sanitizers,PHRASE
33905,1,clean well hand sanitizers,Top of Search
10713,1,clean well hand soap,BROAD
10715,1,clean well hand soap,EXACT
32538,1,clean well hand soap,Other Placements
32536,1,clean well hand soap,Top of Search
16434,1,clean well ingredients,BROAD
40367,1,clean well ingredients,Top of Search
14205,1,clean well liquid hand soap,BROAD
10716,1,clean well liquid hand soap,EXACT
37258,1,clean well liquid hand soap,Other Placements
32542,1,clean well liquid hand soap,Top of Search
16435,1,clean well logo,BROAD
40376,1,clean well logo,Top of Search
12330,1,clean well natural antibacterial foaming hand soap,BROAD
34693,1,clean well natural antibacterial foaming hand soap,Top of Search
11254,1,clean well natural hand sanitizer,EXACT
33268,1,clean well natural hand sanitizer,Other Placements
11255,1,clean well natural hand sanitizer,PHRASE
38920,1,clean well natural hand sanitizer,Top of Search
12940,1,clean well refill,BROAD
11256,1,clean well refill,EXACT
33912,1,clean well refill,Other Placements
14209,1,clean well refill,PHRASE
33270,1,clean well refill,Top of Search
11738,1,clean well sanitizer,BROAD
33915,1,clean well sanitizer,Other Placements
11739,1,clean well sanitizer,PHRASE
33913,1,clean well sanitizer,Top of Search
16443,1,clean well sanitizer ingredients,BROAD
40405,1,clean well sanitizer ingredients,Top of Search
16444,1,clean well sanitizer review,BROAD
40412,1,clean well sanitizer review,Top of Search
10717,1,clean well soap,BROAD
12339,1,clean well soap,EXACT
36297,1,clean well soap,Other Placements
32545,1,clean well soap,Top of Search
12951,1,clean well soap refills,BROAD
35558,1,clean well soap refills,Top of Search
12957,1,clean well water,BROAD
35564,1,clean well water,Top of Search
12340,1,clean well wipes ingredients,BROAD
34703,1,clean well wipes ingredients,Top of Search
12342,1,clean well with bleach,BROAD
34705,1,clean well with bleach,Top of Search
10718,1,cleanwell,EXACT
32560,1,cleanwell,Other Placements
10725,1,cleanwell,PHRASE
32546,1,cleanwell,Top of Search
16469,1,cleanwell all natural hand sanitizing wipes,EXACT
33951,1,cleanwell all natural hand sanitizing wipes,Other Placements
11754,1,cleanwell all natural hand sanitizing wipes,PHRASE
10732,1,cleanwell antibacterial soap,BROAD
12357,1,cleanwell antibacterial soap,EXACT
33954,1,cleanwell antibacterial soap,Other Placements
32585,1,cleanwell antibacterial soap,Top of Search
14904,1,cleanwell antibacterial soap refill,BROAD
38256,1,cleanwell antibacterial soap refill,Top of Search
16471,1,cleanwell botanical disinfectant msds,BROAD
40530,1,cleanwell botanical disinfectant msds,Top of Search
11758,1,cleanwell botanical disinfectant spray,BROAD
33956,1,cleanwell botanical disinfectant spray,Other Placements
37343,1,cleanwell botanical disinfectant spray,Top of Search
12358,1,cleanwell botanical disinfectant spray ads,BROAD
34748,1,cleanwell botanical disinfectant spray ads,Top of Search
16472,1,cleanwell botanical disinfecting ingredients,BROAD
40538,1,cleanwell botanical disinfecting ingredients,Top of Search
16474,1,cleanwell botanical disinfecting spray,BROAD
40546,1,cleanwell botanical disinfecting spray,Top of Search
14253,1,cleanwell cleaning products,BROAD
37355,1,cleanwell cleaning products,Top of Search
12362,1,cleanwell disinfectant spray,EXACT
34754,1,cleanwell disinfectant spray,Other Placements
12982,1,cleanwell disinfectant spray,PHRASE
34752,1,cleanwell disinfectant spray,Top of Search
14255,1,cleanwell disinfectant spray to go,BROAD
37358,1,cleanwell disinfectant spray to go,Top of Search
10734,1,cleanwell disinfecting wipes,BROAD
12367,1,cleanwell disinfecting wipes,EXACT
32591,1,cleanwell disinfecting wipes,Other Placements
14264,1,cleanwell disinfecting wipes,PHRASE
34757,1,cleanwell disinfecting wipes,Top of Search
10739,1,cleanwell foaming hand soap refill,EXACT
33960,1,cleanwell foaming hand soap refill,Other Placements
32599,1,cleanwell foaming hand soap refill,Top of Search
12988,1,cleanwell foaming refill,BROAD
35631,1,cleanwell foaming refill,Other Placements
35630,1,cleanwell foaming refill,Top of Search
12369,1,cleanwell foaming soap,EXACT
33324,1,cleanwell foaming soap,Other Placements
11273,1,cleanwell foaming soap,PHRASE
34763,1,cleanwell foaming soap,Top of Search
13554,1,cleanwell foaming soap refill,BROAD
36386,1,cleanwell foaming soap refill,Top of Search
10740,1,cleanwell hand sanitizer,BROAD
10744,1,cleanwell hand sanitizer,EXACT
32612,1,cleanwell hand sanitizer,Other Placements
10751,1,cleanwell hand sanitizer,PHRASE
32601,1,cleanwell hand sanitizer,Top of Search
13000,1,cleanwell hand sanitizer natural,EXACT
35668,1,cleanwell hand sanitizer natural,Other Placements
10752,1,cleanwell hand sanitizer orange vanilla,EXACT
32633,1,cleanwell hand sanitizer orange vanilla,Other Placements
13569,1,cleanwell hand sanitizer orange vanilla,PHRASE
35670,1,cleanwell hand sanitizer orange vanilla,Top of Search
16504,1,cleanwell hand sanitizer pregnancy,BROAD
40676,1,cleanwell hand sanitizer pregnancy,Top of Search
11774,1,cleanwell hand sanitizer refill,EXACT
37436,1,cleanwell hand sanitizer refill,Other Placements
14284,1,cleanwell hand sanitizer refill,PHRASE
33993,1,cleanwell hand sanitizer refill,Top of Search
16506,1,cleanwell hand sanitizer refills,BROAD
11775,1,cleanwell hand sanitizer refills,EXACT
33994,1,cleanwell hand sanitizer refills,Other Placements
40688,1,cleanwell hand sanitizer refills,Top of Search
16508,1,cleanwell hand sanitizer review,BROAD
40694,1,cleanwell hand sanitizer review,Top of Search
16510,1,cleanwell hand sanitizer sds,BROAD
40701,1,cleanwell hand sanitizer sds,Top of Search
10753,1,cleanwell hand sanitizer spray,BROAD
10754,1,cleanwell hand sanitizer spray,EXACT
32638,1,cleanwell hand sanitizer spray,Other Placements
32635,1,cleanwell hand sanitizer spray,Top of Search
10757,1,cleanwell hand sanitizer travel,BROAD
12387,1,cleanwell hand sanitizer travel,EXACT
32642,1,cleanwell hand sanitizer travel,Other Placements
37444,1,cleanwell hand sanitizer travel,Top of Search
14290,1,cleanwell hand sanitizer travel size,BROAD
12388,1,cleanwell hand sanitizer travel size,EXACT
34812,1,cleanwell hand sanitizer travel size,Other Placements
36433,1,cleanwell hand sanitizer travel size,Top of Search
16523,1,cleanwell hand sanitizer whole foods,BROAD
40769,1,cleanwell hand sanitizer whole foods,Top of Search
12389,1,cleanwell hand sanitizer wipes,EXACT
34814,1,cleanwell hand sanitizer wipes,Other Placements
14291,1,cleanwell hand sanitizer wipes,PHRASE
34813,1,cleanwell hand sanitizer wipes,Top of Search
12390,1,cleanwell hand sanitizer wipes pocket pack,BROAD
34815,1,cleanwell hand sanitizer wipes pocket pack,Top of Search
11781,1,cleanwell hand sanitizing wipes,BROAD
11782,1,cleanwell hand sanitizing wipes,EXACT
34005,1,cleanwell hand sanitizing wipes,Other Placements
12394,1,cleanwell hand sanitizing wipes,PHRASE
34004,1,cleanwell hand sanitizing wipes,Top of Search
10758,1,cleanwell hand soap,BROAD
10764,1,cleanwell hand soap,EXACT
32649,1,cleanwell hand soap,Other Placements
12408,1,cleanwell hand soap,PHRASE
32647,1,cleanwell hand soap,Top of Search
12410,1,cleanwell hand soap ingredients,BROAD
34849,1,cleanwell hand soap ingredients,Top of Search
16540,1,cleanwell hand soap lavender,EXACT
40840,1,cleanwell hand soap lavender,Other Placements
40839,1,cleanwell hand soap lavender,Top of Search
11794,1,cleanwell hand soap refill,EXACT
34030,1,cleanwell hand soap refill,Top of Search
10766,1,cleanwell hand wipes,BROAD
11797,1,cleanwell hand wipes,EXACT
32669,1,cleanwell hand wipes,Other Placements
11801,1,cleanwell hand wipes,PHRASE
32668,1,cleanwell hand wipes,Top of Search
13027,1,cleanwell ingredients,BROAD
35714,1,cleanwell ingredients,Top of Search
16549,1,cleanwell liquid hand soap,BROAD
40885,1,cleanwell liquid hand soap,Top of Search
16552,1,cleanwell natural antibacterial foaming hand soap,BROAD
13028,1,cleanwell natural antibacterial foaming hand soap,EXACT
35716,1,cleanwell natural antibacterial foaming hand soap,Other Placements
35715,1,cleanwell natural antibacterial foaming hand soap,Top of Search
11294,1,cleanwell natural foaming hand sanitizer,BROAD
10767,1,cleanwell natural foaming hand sanitizer,EXACT
32678,1,cleanwell natural foaming hand sanitizer,Other Placements
12426,1,cleanwell natural foaming hand sanitizer,PHRASE
32677,1,cleanwell natural foaming hand sanitizer,Top of Search
16562,1,cleanwell natural hand sanitizer spray,BROAD
11302,1,cleanwell natural hand sanitizer spray,EXACT
33412,1,cleanwell natural hand sanitizer spray,Other Placements
16054,1,cleanwell natural hand sanitizer spray,PHRASE
33408,1,cleanwell natural hand sanitizer spray,Top of Search
13035,1,cleanwell natural hand sanitizing wipes,BROAD
13624,1,cleanwell natural hand sanitizing wipes,EXACT
35725,1,cleanwell natural hand sanitizing wipes,Other Placements
13036,1,cleanwell natural hand sanitizing wipes,PHRASE
37520,1,cleanwell natural hand sanitizing wipes,Top of Search
16572,1,cleanwell products,BROAD
11809,1,cleanwell products,EXACT
34059,1,cleanwell products,Other Placements
34058,1,cleanwell products,Top of Search
14334,1,cleanwell refill,BROAD
12427,1,cleanwell refill,EXACT
34062,1,cleanwell refill,Other Placements
11810,1,cleanwell refill,PHRASE
34061,1,cleanwell refill,Top of Search
11812,1,cleanwell sanitizer,EXACT
32689,1,cleanwell sanitizer,Other Placements
10768,1,cleanwell sanitizer,PHRASE
34066,1,cleanwell sanitizer,Top of Search
10769,1,cleanwell soap,EXACT
33432,1,cleanwell soap,Other Placements
11308,1,cleanwell soap,PHRASE
32706,1,cleanwell soap,Top of Search
11827,1,cleanwell soap refill,EXACT
35756,1,cleanwell soap refill,Other Placements
34097,1,cleanwell soap refill,Top of Search
13646,1,cleanwell travel wipes,BROAD
36546,1,cleanwell travel wipes,Other Placements
41021,1,cleanwell travel wipes,Top of Search
10773,1,cleanwell wipes,EXACT
32723,1,cleanwell wipes,Other Placements
10780,1,cleanwell wipes,PHRASE
32715,1,cleanwell wipes,Top of Search
14360,1,cleanwell wipes individual,BROAD
37590,1,cleanwell wipes individual,Other Placements
14361,1,cleanwell wipes individual,PHRASE
37588,1,cleanwell wipes individual,Top of Search
